Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
66058,2015,11,10,0.0,1.0,313
66058,2015,11,11,0.0,1.0,314
66058,2015,11,12,2.0,1.0,315
66058,2015,11,13,2.0,1.0,316
66058,2015,11,14,20.0,1.0,317
66058,2015,11,15,28.0,1.0,318
66058,2015,11,16,6.0,1.0,319
66058,2015,11,17,0.0,1.0,320
66058,2015,11,18,0.0,1.0,321
66058,2015,11,19,0.0,1.0,322
66058,2015,11,20,0.0,1.0,323
66058,2015,11,21,0.0,1.0,324
66058,2015,11,22,0.0,1.0,325
66058,2015,11,23,0.0,1.0,326
66058,2015,11,24,0.0,1.0,327
66058,2015,11,25,0.0,1.0,328
66058,2015,11,26,0.0,1.0,329
66058,2015,11,27,0.0,1.0,330
66058,2015,11,28,0.0,1.0,331
66058,2015,11,29,0.0,1.0,332
66058,2015,11,30,0.0,1.0,333
66058,2015,12,1,0.0,1.0,334
66058,2015,12,2,0.0,1.0,335
66058,2015,12,3,0.0,1.0,336
66058,2015,12,4,0.0,1.0,337
66058,2015,12,5,0.0,1.0,338
66058,2015,12,6,0.0,1.0,339
66058,2015,12,7,0.0,1.0,340
66058,2015,12,8,0.0,1.0,341
66058,2015,12,9,1.0,1.0,342
66058,2015,12,10,2.0,1.0,343
66058,2015,12,11,0.0,1.0,344
66058,2015,12,12,0.0,1.0,345
66058,2015,12,13,0.0,1.0,346
66058,2015,12,14,0.0,1.0,347
66058,2015,12,15,0.0,1.0,348
66058,2015,12,16,1.0,1.0,349
66058,2015,12,17,2.0,1.0,350
66058,2015,12,18,0.0,1.0,351
66058,2015,12,19,0.0,1.0,352
66058,2015,12,20,0.0,1.0,353
66058,2015,12,21,0.0,1.0,354
66058,2015,12,22,19.0,1.0,355
66058,2015,12,23,24.0,1.0,356
66058,2015,12,24,0.0,1.0,357
66058,2015,12,25,0.0,1.0,358
66058,2015,12,26,1.0,1.0,359
66058,2015,12,27,4.0,1.0,360
66058,2015,12,28,2.0,1.0,361
66058,2015,12,29,0.0,1.0,362
66058,2015,12,30,0.0,1.0,363
66058,2015,12,31,0.0,1.0,364
66058,2016,1,1,0.0,1.0,365
66058,2016,1,2,0.0,1.0,366
66058,2016,1,3,0.0,1.0,367
66058,2016,1,4,2.0,1.0,368
66058,2016,1,5,61.0,1.0,369
66058,2016,1,6,42.0,1.0,370
66058,2016,1,7,31.0,1.0,371
66058,2016,1,8,1.0,1.0,372
66058,2016,1,9,0.0,1.0,373
66058,2016,1,10,0.0,1.0,374
66058,2016,1,11,0.0,1.0,375
66058,2016,1,12,0.0,1.0,376
66058,2016,1,13,0.0,1.0,377
66058,2016,1,14,0.0,1.0,378
66058,2016,1,15,40.0,1.0,379
66058,2016,1,16,11.0,1.0,380
