Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
66124,2015,8,23,14.0,1.0,234,True
66124,2015,8,24,13.8,1.0,235,True
66124,2015,8,25,11.0,1.0,236,True
66124,2015,8,26,11.6,1.0,237,True
66124,2015,8,27,10.3,1.0,238,True
66124,2015,8,28,9.0,1.0,239,True
66124,2015,8,29,6.8,1.0,240,True
66124,2015,8,30,4.0,1.0,241,True
66124,2015,8,31,5.3,1.0,242,True
66124,2015,9,1,4.5,1.0,243,True
66124,2015,9,2,5.4,1.0,244,True
66124,2015,9,3,9.0,1.0,245,True
66124,2015,9,4,12.0,1.0,246,True
66124,2015,9,5,8.3,1.0,247,True
66124,2015,9,6,11.9,1.0,248,True
66124,2015,9,7,8.6,1.0,249,True
66124,2015,9,8,5.6,1.0,250,True
66124,2015,9,9,6.0,1.0,251,True
66124,2015,9,10,7.6,1.0,252,True
66124,2015,9,11,11.2,1.0,253,True
66124,2015,9,12,8.3,1.0,254,True
66124,2015,9,13,10.3,1.0,255,True
66124,2015,9,14,10.0,1.0,256,True
66124,2015,9,15,11.8,1.0,257,True
66124,2015,9,16,8.5,1.0,258,True
66124,2015,9,17,9.7,1.0,259,True
66124,2015,9,18,11.0,1.0,260,True
66124,2015,9,19,11.9,1.0,261,True
66124,2015,9,20,9.9,1.0,262,True
66124,2015,9,21,8.5,1.0,263,True
66124,2015,9,22,12.2,1.0,264,True
66124,2015,9,23,8.5,1.0,265,True
66124,2015,9,24,7.2,1.0,266,True
66124,2015,9,25,10.2,1.0,267,True
66124,2015,9,26,10.1,1.0,268,True
66124,2015,9,27,11.2,1.0,269,True
66124,2015,9,28,8.0,1.0,270,True
66124,2015,9,29,8.8,1.0,271,True
66124,2015,9,30,13.8,1.0,272,True
66124,2015,10,1,12.7,1.0,273,False
66124,2015,10,2,13.8,1.0,274,False
66124,2015,10,3,11.8,1.0,275,False
66124,2015,10,4,18.6,1.0,276,False
66124,2015,10,5,12.3,1.0,277,False
66124,2015,10,6,15.0,1.0,278,False
66124,2015,10,7,16.8,1.0,279,False
66124,2015,10,8,13.7,1.0,280,False
66124,2015,10,9,15.7,1.0,281,False
66124,2015,10,10,13.5,1.0,282,False
66124,2015,10,11,12.5,1.0,283,False
66124,2015,10,12,16.0,1.0,284,False
66124,2015,10,13,17.2,1.0,285,False
66124,2015,10,14,14.8,1.0,286,False
66124,2015,10,15,15.0,1.0,287,False
66124,2015,10,16,15.0,1.0,288,False
66124,2015,10,17,17.4,1.0,289,False
66124,2015,10,18,18.0,1.0,290,False
66124,2015,10,19,18.2,1.0,291,False
66124,2015,10,20,16.7,1.0,292,False
66124,2015,10,21,17.3,1.0,293,False
66124,2015,10,22,18.2,1.0,294,False
66124,2015,10,23,14.2,1.0,295,False
66124,2015,10,24,10.2,1.0,296,False
66124,2015,10,25,12.2,1.0,297,False
66124,2015,10,26,14.5,1.0,298,False
66124,2015,10,27,14.2,1.0,299,False
66124,2015,10,28,12.2,1.0,300,False
66124,2015,10,29,12.7,1.0,301,False
66124,2015,10,30,10.2,1.0,302,False
66124,2015,10,31,13.2,1.0,303,False
66124,2015,11,1,15.2,1.0,304,False
66124,2015,11,2,15.8,1.0,305,False
66124,2015,11,3,17.5,1.0,306,False
66124,2015,11,4,16.7,1.0,307,False
66124,2015,11,5,15.8,1.0,308,False
66124,2015,11,6,18.0,1.0,309,False
66124,2015,11,7,16.0,1.0,310,False
66124,2015,11,8,15.3,1.0,311,False
66124,2015,11,9,11.4,1.0,312,False
66124,2015,11,10,11.8,1.0,313,False
66124,2015,11,11,18.8,1.0,314,False
66124,2015,11,12,15.8,1.0,315,False
66124,2015,11,13,15.6,1.0,316,False
66124,2015,11,14,16.7,1.0,317,False
66124,2015,11,15,14.5,1.0,318,False
66124,2015,11,16,11.7,1.0,319,False
66124,2015,11,17,11.2,1.0,320,False
66124,2015,11,18,14.6,1.0,321,False
66124,2015,11,19,16.5,1.0,322,False
66124,2015,11,20,21.3,1.0,323,False
66124,2015,11,21,19.0,1.0,324,False
66124,2015,11,22,16.0,1.0,325,False
66124,2015,11,23,14.3,1.0,326,False
66124,2015,11,24,16.0,1.0,327,False
66124,2015,11,25,14.7,1.0,328,False
66124,2015,11,26,20.7,1.0,329,False
