Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
61381,2016,2,23,0.0,1.0,418
61381,2016,2,24,0.0,1.0,419
61381,2016,2,25,0.0,1.0,420
61381,2016,2,26,0.0,1.0,421
61381,2016,2,27,0.0,1.0,422
61381,2016,2,28,0.0,1.0,423
61381,2016,2,29,0.0,1.0,424
61381,2016,3,1,0.0,1.0,425
61381,2016,3,2,0.0,1.0,426
61381,2016,3,3,0.0,1.0,427
61381,2016,3,4,0.0,1.0,428
61381,2016,3,5,0.0,1.0,429
61381,2016,3,6,0.0,1.0,430
61381,2016,3,7,0.0,1.0,431
61381,2016,3,8,0.0,1.0,432
61381,2016,3,9,1.0,1.0,433
61381,2016,3,10,0.0,1.0,434
61381,2016,3,11,0.0,1.0,435
61381,2016,3,12,2.0,1.0,436
61381,2016,3,13,0.0,1.0,437
61381,2016,3,14,0.0,1.0,438
61381,2016,3,15,10.0,1.0,439
61381,2016,3,16,51.0,1.0,440
61381,2016,3,17,7.0,1.0,441
61381,2016,3,18,16.0,1.0,442
61381,2016,3,19,12.0,1.0,443
61381,2016,3,20,3.0,1.0,444
61381,2016,3,21,38.0,1.0,445
61381,2016,3,22,8.0,1.0,446
61381,2016,3,23,0.0,1.0,447
61381,2016,3,24,0.0,1.0,448
61381,2016,3,25,0.0,1.0,449
61381,2016,3,26,0.0,1.0,450
61381,2016,3,27,0.0,1.0,451
61381,2016,3,28,13.0,1.0,452
61381,2016,3,29,0.0,1.0,453
61381,2016,3,30,0.0,1.0,454
61381,2016,3,31,0.0,1.0,455
61381,2016,4,1,0.0,1.0,456
61381,2016,4,2,0.0,1.0,457
61381,2016,4,3,0.0,1.0,458
61381,2016,4,4,55.0,1.0,459
61381,2016,4,5,2.0,1.0,460
61381,2016,4,6,0.0,1.0,461
61381,2016,4,7,0.0,1.0,462
61381,2016,4,8,0.0,1.0,463
61381,2016,4,9,1.0,1.0,464
61381,2016,4,10,0.0,1.0,465
61381,2016,4,11,0.0,1.0,466
61381,2016,4,12,5.0,1.0,467
61381,2016,4,13,1.0,1.0,468
61381,2016,4,14,0.0,1.0,469
61381,2016,4,15,0.0,1.0,470
61381,2016,4,16,0.0,1.0,471
61381,2016,4,17,3.0,1.0,472
61381,2016,4,18,10.0,1.0,473
61381,2016,4,19,4.0,1.0,474
61381,2016,4,20,0.0,1.0,475
61381,2016,4,21,1.0,1.0,476
61381,2016,4,22,0.0,1.0,477
61381,2016,4,23,4.0,1.0,478
61381,2016,4,24,12.0,1.0,479
61381,2016,4,25,0.0,1.0,480
61381,2016,4,26,0.0,1.0,481
61381,2016,4,27,0.0,1.0,482
61381,2016,4,28,0.0,1.0,483
61381,2016,4,29,0.0,1.0,484
61381,2016,4,30,0.0,1.0,485
61381,2016,5,1,7.0,1.0,486
61381,2016,5,2,0.0,1.0,487
61381,2016,5,3,0.0,1.0,488
61381,2016,5,4,0.0,1.0,489
61381,2016,5,5,0.0,1.0,490
61381,2016,5,6,0.0,1.0,491
61381,2016,5,7,0.0,1.0,492
61381,2016,5,8,0.0,1.0,493
61381,2016,5,9,0.0,1.0,494
61381,2016,5,10,0.0,1.0,495
61381,2016,5,11,0.0,1.0,496
61381,2016,5,12,0.0,1.0,497
61381,2016,5,13,0.0,1.0,498
61381,2016,5,14,0.0,1.0,499
61381,2016,5,15,0.0,1.0,500
61381,2016,5,16,0.0,1.0,501
61381,2016,5,17,0.0,1.0,502
61381,2016,5,18,0.0,1.0,503
61381,2016,5,19,0.0,1.0,504
61381,2016,5,20,0.0,1.0,505
61381,2016,5,21,0.0,1.0,506
61381,2016,5,22,0.0,1.0,507
61381,2016,5,23,0.0,1.0,508
61381,2016,5,24,0.0,1.0,509
61381,2016,5,25,0.0,1.0,510
61381,2016,5,26,1.0,1.0,511
61381,2016,5,27,0.0,1.0,512
61381,2016,5,28,0.0,1.0,513
61381,2016,5,29,1.0,1.0,514
61381,2016,5,30,0.0,1.0,515
61381,2016,5,31,0.0,1.0,516
61381,2016,6,1,20.0,1.0,517
61381,2016,6,2,0.0,1.0,518
61381,2016,6,3,0.0,1.0,519
61381,2016,6,4,18.0,1.0,520
61381,2016,6,5,137.0,1.0,521
61381,2016,6,6,91.0,1.0,522
61381,2016,6,7,0.0,1.0,523
61381,2016,6,8,0.0,1.0,524
61381,2016,6,9,0.0,1.0,525
61381,2016,6,10,0.0,1.0,526
61381,2016,6,11,0.0,1.0,527
61381,2016,6,12,0.0,1.0,528
61381,2016,6,13,0.0,1.0,529
61381,2016,6,14,0.0,1.0,530
61381,2016,6,15,0.0,1.0,531
61381,2016,6,16,0.0,1.0,532
61381,2016,6,17,0.0,1.0,533
61381,2016,6,18,2.0,1.0,534
61381,2016,6,19,1.0,1.0,535
61381,2016,6,20,39.0,1.0,536
61381,2016,6,21,0.0,1.0,537
61381,2016,6,22,0.0,1.0,538
61381,2016,6,23,0.0,1.0,539
61381,2016,6,24,0.0,1.0,540
61381,2016,6,25,1.0,1.0,541
61381,2016,6,26,0.0,1.0,542
61381,2016,6,27,0.0,1.0,543
61381,2016,6,28,1.0,1.0,544
61381,2016,6,29,0.0,1.0,545
61381,2016,6,30,0.0,1.0,546
61381,2016,7,1,0.0,1.0,547
61381,2016,7,2,0.0,1.0,548
61381,2016,7,3,0.0,1.0,549
61381,2016,7,4,0.0,1.0,550
61381,2016,7,5,5.0,1.0,551
61381,2016,7,6,0.0,1.0,552
61381,2016,7,7,12.0,1.0,553
61381,2016,7,8,29.0,1.0,554
61381,2016,7,9,12.0,1.0,555
61381,2016,7,10,1.0,1.0,556
61381,2016,7,11,0.0,1.0,557
61381,2016,7,12,0.0,1.0,558
