Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
66052,2016,4,14,0.8,1.0,469,True
66052,2016,4,15,0.4,1.0,470,True
66052,2016,4,16,0.0,1.0,471,True
66052,2016,4,17,0.0,,472,True
66052,2016,4,18,5.0,1.0,473,True
66052,2016,4,19,7.4,1.0,474,True
66052,2016,4,20,2.6,1.0,475,True
66052,2016,4,21,0.2,1.0,476,True
66052,2016,4,22,0.0,,477,True
66052,2016,4,23,4.2,1.0,478,True
66052,2016,4,24,5.8,1.0,479,True
66052,2016,4,25,0.0,,480,True
66052,2016,4,26,0.0,,481,True
66052,2016,4,27,0.0,,482,True
66052,2016,4,28,0.0,,483,True
66052,2016,4,29,0.0,,484,True
66052,2016,4,30,0.2,1.0,485,True
66052,2016,5,1,3.2,1.0,486,True
66052,2016,5,2,0.0,,487,True
66052,2016,5,3,0.0,,488,True
66052,2016,5,4,0.0,,489,True
66052,2016,5,5,0.0,,490,True
66052,2016,5,6,0.0,,491,True
66052,2016,5,7,0.0,,492,True
66052,2016,5,8,0.2,1.0,493,True
66052,2016,5,9,2.2,1.0,494,True
66052,2016,5,10,0.2,1.0,495,True
66052,2016,5,11,0.0,,496,True
66052,2016,5,12,0.0,,497,True
66052,2016,5,13,0.0,,498,True
66052,2016,5,14,0.0,,499,True
66052,2016,5,15,0.0,,500,True
66052,2016,5,16,0.0,,501,True
66052,2016,5,17,0.0,,502,True
66052,2016,5,18,0.0,,503,True
66052,2016,5,19,0.0,,504,True
66052,2016,5,20,0.0,,505,True
66052,2016,5,21,0.0,,506,True
66052,2016,5,22,0.0,,507,True
66052,2016,5,23,0.0,,508,True
66052,2016,5,24,0.0,,509,True
66052,2016,5,25,0.0,,510,True
66052,2016,5,26,0.4,1.0,511,True
66052,2016,5,27,0.2,1.0,512,True
66052,2016,5,28,0.0,,513,True
66052,2016,5,29,4.6,1.0,514,True
66052,2016,5,30,0.0,,515,True
66052,2016,5,31,0.8,1.0,516,True
66052,2016,6,1,16.6,1.0,517,True
66052,2016,6,2,0.4,1.0,518,True
66052,2016,6,3,4.8,1.0,519,True
66052,2016,6,4,74.8,1.0,520,True
66052,2016,6,5,102.0,1.0,521,True
66052,2016,6,6,61.0,1.0,522,True
66052,2016,6,7,0.1,1.0,523,True
66052,2016,6,8,0.0,,524,True
66052,2016,6,9,1.0,1.0,525,True
66052,2016,6,10,0.1,1.0,526,True
66052,2016,6,11,0.0,,527,True
66052,2016,6,12,0.0,,528,True
66052,2016,6,13,0.0,,529,True
66052,2016,6,14,0.0,,530,True
66052,2016,6,15,0.0,,531,True
66052,2016,6,16,0.0,,532,True
66052,2016,6,17,0.0,,533,True
66052,2016,6,18,7.0,1.0,534,True
66052,2016,6,19,1.0,1.0,535,True
66052,2016,6,20,28.2,1.0,536,True
66052,2016,6,21,0.0,,537,True
66052,2016,6,22,0.0,,538,True
66052,2016,6,23,0.0,,539,True
66052,2016,6,24,0.0,,540,True
66052,2016,6,25,0.2,1.0,541,True
66052,2016,6,26,0.0,,542,True
66052,2016,6,27,0.0,1.0,543,True
66052,2016,6,28,4.4,1.0,544,True
66052,2016,6,29,0.0,,545,True
66052,2016,6,30,0.0,,546,True
66052,2016,7,1,0.0,,547,True
66052,2016,7,2,0.0,,548,True
66052,2016,7,3,0.0,,549,True
66052,2016,7,4,0.0,,550,True
66052,2016,7,5,4.8,1.0,551,True
66052,2016,7,6,0.2,1.0,552,True
66052,2016,7,7,33.6,1.0,553,True
66052,2016,7,8,13.8,1.0,554,True
66052,2016,7,9,4.4,1.0,555,True
66052,2016,7,10,2.4,1.0,556,True
66052,2016,7,11,0.0,,557,True
66052,2016,7,12,0.1,1.0,558,True
66052,2016,7,13,0.0,,559,True
